%Time	Paddle Displacement	LC1	LC2	WG0	WG1	WG2	WG3
31/08/2023 14.33.20.51487	0.772715	1.8938	0.96785	-296.289	-6.46877	10.7663	21.1051
31/08/2023 14.33.20.56487	0.772686	0.778595	0.632874	-299.899	-8.38277	3.68416	21.8945
31/08/2023 14.33.20.61487	0.772562	1.88223	1.12273	-303.106	-8.70013	-2.201	20.6856
31/08/2023 14.33.20.66487	0.772547	1.57739	0.960602	-304.949	-7.76933	-5.63078	15.7304
31/08/2023 14.33.20.71487	0.772683	0.321228	0.637268	-306.014	-3.67842	-7.29913	8.25452
31/08/2023 14.33.20.76487	0.772738	1.50317	1.09367	-305.676	2.98193	-7.72343	1.12045
31/08/2023 14.33.20.81514	0.772671	-0.886505	0.079071	-303.337	9.57686	-6.18687	-3.90617
31/08/2023 14.33.20.86514	0.772464	-2.42346	-0.287216	-300.404	14.9808	-1.07411	-6.72459
31/08/2023 14.33.20.91512	0.772634	-1.23175	-0.0109253	-296.505	18.7378	5.9248	-7.18372
31/08/2023 14.33.20.96512	0.772741	0.406494	0.529434	-292.936	20.781	12.4463	-6.16281
31/08/2023 14.33.21.01512	0.772675	1.77887	0.999237	-291.632	21.269	17.2612	-2.65395
31/08/2023 14.33.21.06512	0.772646	-0.0187988	0.501358	-291.093	20.543	19.6472	2.90054
31/08/2023 14.33.21.11512	0.772458	0.351135	0.626556	-292.484	15.8316	19.9659	7.97923
31/08/2023 14.33.21.16512	0.772661	-0.386536	0.323532	-298.25	8.49063	19.0759	12.4235
31/08/2023 14.33.21.21512	0.772739	1.74069	0.992249	-306.315	-1.10983	14.3399	15.2008
31/08/2023 14.33.21.26512	0.772732	-0.458649	0.352127	-313.861	-10.6691	7.29588	15.9819
31/08/2023 14.33.21.31512	0.772576	-0.427185	0.277054	-318.33	-18.9926	-0.343506	15.0343
31/08/2023 14.33.21.36512	0.77249	-1.25922	0.0536652	-323.367	-25.5886	-7.77429	10.3205
31/08/2023 14.33.21.41537	0.772672	-2.05316	-0.201843	-327.484	-29.5974	-14.8404	3.25023
31/08/2023 14.33.21.46537	0.772716	-0.584167	0.221512	-328.37	-31.7533	-21.0853	-3.86273
31/08/2023 14.33.21.51537	0.772728	3.08884	1.72017	-327.858	-32.2265	-26.5485	-10.4866
31/08/2023 14.33.21.56537	0.772443	0.573853	0.74675	-320.662	-30.7068	-30.1873	-15.6512
31/08/2023 14.33.21.61537	0.772613	0.341217	0.477203	-307.722	-24.3601	-31.3436	-19.5851
31/08/2023 14.33.21.66537	0.772725	-0.810028	0.219162	-294.839	-14.1298	-30.7725	-21.905
31/08/2023 14.33.21.71562	0.772695	-1.9967	-0.21524	-281.307	-1.83914	-26.076	-22.7099
31/08/2023 14.33.21.76562	0.772688	-1.54779	-0.0918579	-270.834	11.0592	-14.9698	-23.0031
31/08/2023 14.33.21.81612	0.772468	-1.85849	-0.19606	-264.686	22.5049	-0.589569	-22.3463
31/08/2023 14.33.21.86612	0.772623	-1.91409	-0.124542	-262.717	42.4693	15.4614	-17.8142
31/08/2023 14.33.21.91612	0.772678	0.998993	0.762558	-263.304	49.6685	31.3756	-9.17566
31/08/2023 14.33.21.96612	0.772735	1.27454	0.780426	-271.046	51.0691	44.4592	2.52707
31/08/2023 14.33.22.01612	0.772645	1.70377	0.992462	-284.527	45.4747	53.3139	15.7083
31/08/2023 14.33.22.06612	0.772459	1.9122	0.991867	-294.635	27.0684	55.8208	28.6555
31/08/2023 14.33.22.11638	0.772672	-0.375305	0.257782	-302.544	13.0761	51.4052	38.7704
31/08/2023 14.33.22.16638	0.772723	1.03784	0.687164	-309.016	1.53075	41.584	46.3258
31/08/2023 14.33.22.21662	0.772711	1.47711	0.799072	-313.862	-11.0184	40.8691	49.3896
31/08/2023 14.33.22.26662	0.772535	1.09741	0.635361	-315.697	-20.141	40.8185	47.8838
31/08/2023 14.33.22.31662	0.772544	-0.0229492	0.338882	-316.902	-25.7949	40.3863	36.7545
31/08/2023 14.33.22.36662	0.772705	0.618073	0.600235	-318.31	-28.7441	15.2277	20.4958
31/08/2023 14.33.22.41662	0.772718	1.67813	0.797089	-319.396	-29.7717	-29.9515	3.74123
31/08/2023 14.33.22.46662	0.772734	1.05106	0.697189	-319.524	-29.6092	-32.7018	-11.8598
31/08/2023 14.33.22.51737	0.772421	3.08704	1.59103	-319.843	-26.9733	-33.6005	-23.9442
31/08/2023 14.33.22.56737	0.772603	-0.94577	0.135681	-319.262	-20.789	-33.0203	-33.0544
31/08/2023 14.33.22.61762	0.772723	0.0541687	0.268295	-318.043	-13.0332	-29.2327	-37.5132
31/08/2023 14.33.22.66762	0.772703	1.61404	0.872528	-315.317	-5.15375	-21.8594	-38.3433
31/08/2023 14.33.22.71763	0.772701	1.64563	0.872574	-311.972	2.49135	-12.3999	-36.6017
31/08/2023 14.33.22.76763	0.772413	1.20926	0.712708	-308.746	9.70715	-3.34245	-29.1245
31/08/2023 14.33.22.81787	0.772651	3.60403	1.66933	-306.04	15.8736	5.15025	-19.1658
31/08/2023 14.33.22.86787	0.772725	2.59787	1.18488	-304.136	20.757	13.1023	-8.96655
31/08/2023 14.33.22.91787	0.772738	-0.12619	0.323334	-302.587	24.6852	19.6241	0.848999
31/08/2023 14.33.22.96787	0.772573	0.637817	0.566132	-299.998	26.4121	24.123	9.72015
31/08/2023 14.33.23.01837	0.772499	0.791962	0.523148	-296.116	26.5392	26.5729	17.4728
31/08/2023 14.33.23.06837	0.772685	-0.315643	0.174606	-290.767	24.4419	27.1644	23.2379
31/08/2023 14.33.23.11837	0.772731	4.4769	2.01648	-283.812	17.8512	26.7081	26.9329
31/08/2023 14.33.23.16837	0.772709	4.1611	1.96248	-276.941	9.33627	23.6901	28.2528
31/08/2023 14.33.23.22012	0.77247	0.170593	0.446701	-276.022	-1.11209	17.0482	28.3115
31/08/2023 14.33.23.27012	0.772604	1.3808	1.09447	-275.542	-11.9485	7.27309	27.0596
31/08/2023 14.33.23.32012	0.772681	1.46707	1.02003	-278.868	-21.146	-2.89098	22.6443
31/08/2023 14.33.23.37012	0.772729	0.899048	0.630325	-288.055	-27.1961	-11.6192	14.9949
31/08/2023 14.33.23.42012	0.772751	2.00684	1.03668	-297.542	-30.1914	-18.5967	6.93904
31/08/2023 14.33.23.47012	0.772405	2.98489	1.53247	-311.105	-30.6478	-23.3698	-1.72862
31/08/2023 14.33.23.52012	0.772619	0.502228	0.565704	-316.509	-27.2735	-26.1053	-9.64221
31/08/2023 14.33.23.57012	0.772724	-0.582458	0.29599	-319.9	-16.3874	-26.5172	-16.9529
31/08/2023 14.33.23.62012	0.772672	-0.117401	0.276291	-320.613	-2.45468	-24.2773	-22.3639
31/08/2023 14.33.23.67012	0.772655	0.893951	0.58667	-320.787	11.7058	-16.534	-25.1593
31/08/2023 14.33.23.72062	0.772491	0.414459	0.446671	-319.23	22.6691	-5.62299	-26.3437
31/08/2023 14.33.23.77062	0.772654	1.89401	1.14464	-317.219	29.9857	5.46629	-24.9624
31/08/2023 14.33.23.82062	0.77271	2.7193	1.47478	-314.3	33.6814	15.9444	-18.3934
31/08/2023 14.33.23.87062	0.772751	0.0545044	0.620483	-313.129	33.8555	24.0825	-6.71814
31/08/2023 14.33.23.92137	0.772457	-0.443115	0.395035	-311.34	29.2396	29.6666	6.3307
31/08/2023 14.33.23.97137	0.772578	1.85065	0.990158	-310.999	19.5119	32.2574	19.7551
31/08/2023 14.33.24.02137	0.772706	0.379547	0.614685	-307.922	10.1018	32.4888	30.1966
31/08/2023 14.33.24.07137	0.772725	-1.36627	-0.0889435	-301.73	1.49962	27.2392	35.0816
31/08/2023 14.33.24.12187	0.772724	-1.06085	0.0428619	-296.518	-5.47098	19.3074	36.5795
31/08/2023 14.33.24.17187	0.772443	-1.08667	0.0813293	-289.856	-9.7968	9.17876	34.3368
31/08/2023 14.33.24.22187	0.772606	0.898102	0.614883	-284.599	-12.2874	-0.923492	25.3343
31/08/2023 14.33.24.27187	0.772694	1.74466	1.12515	-282.955	-13.2314	-9.25331	13.3625
31/08/2023 14.33.24.32187	0.772723	2.39603	1.40704	-284.72	-13.2326	-15.3616	1.7034
31/08/2023 14.33.24.37187	0.7727	2.48901	1.44937	-288.347	-12.5975	-19.0489	-8.74283
